model,fold,macro_weighted_f1,overall_accuracy,mcc,class_2_accuracy
HistGradientBoostingClassifier_Resampled_Balanced,1,0.5725814664806692,0.6280115927419355,0.08357715912450903,0.14669354838709678
HistGradientBoostingClassifier_Resampled_Balanced,2,0.570665686869948,0.6268523185483871,0.07478063815773955,0.14669354838709678
HistGradientBoostingClassifier_Resampled_Balanced,3,0.5755781881439538,0.6343245967741935,0.08736397271291277,0.13790322580645162
HistGradientBoostingClassifier_Resampled_Balanced,4,0.577120366253684,0.6320060483870967,0.09174519252255826,0.14451612903225808
HistGradientBoostingClassifier_Resampled,0,0.5777162294553789,0.6344254032258064,0.09222829419378345,0.14290322580645162
HistGradientBoostingClassifier_Resampled,1,0.5724009000431108,0.6264742943548387,0.0789467424752924,0.13540322580645162
HistGradientBoostingClassifier_Resampled,2,0.5783014405270693,0.6343497983870968,0.09327121363249985,0.1421774193548387
HistGradientBoostingClassifier_Resampled,3,0.5758962880233321,0.628288810483871,0.08643377561292312,0.13983870967741935
HistGradientBoostingClassifier_Resampled,4,0.5708889718783017,0.625226814516129,0.07571969526483582,0.14266129032258065
LinearSVC_Resampled,0,0.471333539802998,0.4402721774193548,0.03388827853494551,0.2837903225806452
LinearSVC_Resampled,1,0.4695739276154813,0.439289314516129,0.030474518477349208,0.2661290322580645
LinearSVC_Resampled,2,0.4808387313964322,0.4548009072580645,0.03117327122906451,0.25370967741935485
LinearSVC_Resampled,3,0.47762077303380185,0.44979838709677417,0.03211151701356308,0.2703225806451613
LinearSVC_Resampled,4,0.4701314710715853,0.44065020161290325,0.027060906424344135,0.29
LinearSVC_Resampled_Balanced,0,0.47010052228378624,0.44037298387096774,0.02865820305705168,0.25693548387096776
LinearSVC_Resampled_Balanced,1,0.4732880671735795,0.4445186491935484,0.027547689575341084,0.27241935483870966
LinearSVC_Resampled_Balanced,2,0.4849781389925013,0.45648941532258064,0.05016460307647673,0.2738709677419355
LinearSVC_Resampled_Balanced,3,0.47094441577959884,0.44197328629032256,0.0243906821126958,0.25798387096774195
LinearSVC_Resampled_Balanced,4,0.47717902460444134,0.4466229838709677,0.0409625349920978,0.27991935483870967
LogisticRegression_Resampled,0,0.47294233765054333,0.4418724798387097,0.04192119830168235,0.295
LogisticRegression_Resampled,1,0.4865309231069321,0.4606476814516129,0.04108767813032974,0.28661290322580646
LogisticRegression_Resampled,2,0.4810401237105213,0.4510332661290323,0.043434155690263355,0.2887096774193548
LogisticRegression_Resampled,3,0.4755723995677446,0.4468876008064516,0.03656862759946287,0.3041129032258065
LogisticRegression_Resampled,4,0.4715818800207893,0.4435357862903226,0.027489168938731844,0.3015322580645161
LogisticRegression_Resampled_Balanced,0,0.4777712739384694,0.4454889112903226,0.05118195701846594,0.3035483870967742
LogisticRegression_Resampled_Balanced,1,0.4820155099039706,0.45534274193548385,0.036538350015587924,0.2881451612903226
LogisticRegression_Resampled_Balanced,2,0.4746549664486538,0.4427671370967742,0.037362934770461466,0.2864516129032258
LogisticRegression_Resampled_Balanced,3,0.48188964280878055,0.452734375,0.04283965803861079,0.29169354838709677
LogisticRegression_Resampled_Balanced,4,0.4729172140852631,0.4433845766129032,0.026486750305454488,0.27580645161290324
RandomForestClassifier_Resampled,0,0.6107991557017624,0.6931955645161291,0.2151352932555207,0.18645161290322582
RandomForestClassifier_Resampled,1,0.6110115319785809,0.6885332661290322,0.20382569523748442,0.19846774193548386
RandomForestClassifier_Resampled,2,0.6094012858774408,0.690171370967742,0.20546565045052922,0.18741935483870967
RandomForestClassifier_Resampled,3,0.6106497217287497,0.6885710685483871,0.20340155624850306,0.19725806451612904
RandomForestClassifier_Resampled,4,0.6083736526345231,0.6877016129032258,0.19812251711015658,0.18629032258064515
RandomForestClassifier_Resampled_Balanced,0,0.6102487880906987,0.6916204637096774,0.2106110235124627,0.19120967741935485
RandomForestClassifier_Resampled_Balanced,1,0.6097637909954098,0.6900453629032258,0.2050744902067896,0.18725806451612903
RandomForestClassifier_Resampled_Balanced,2,0.6103392302782783,0.6878150201612904,0.20041585078056662,0.1932258064516129
RandomForestClassifier_Resampled_Balanced,3,0.6131665902791631,0.6951864919354839,0.2230092055379188,0.18919354838709676
RandomForestClassifier_Resampled_Balanced,4,0.6007565716043788,0.6834803427419355,0.17678496733510454,0.1571774193548387
