,Feature,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9,Importance_10,Importance_11,Importance_12,Importance_13,Importance_14,Importance_15,Importance_16,Importance_17,Importance_18,Importance_19,Importance_20,Importance_21,Importance_22,Importance_23,Importance_24,Importance_25,Importance_26,Importance_27,Importance_28,Importance_29,Importance_30,Importance_31,Importance_32,Importance_33,Importance_34,Importance_35,Importance_36,Importance_37,Importance_38,Importance_39,Importance_40,Importance_41,Importance_42,Importance_43,Importance_44,Importance_45,Importance_46,Importance_47,Importance_48,Importance_49,mean_importance,std_importance,system,Z_score
1740,FE3HOXR2,9.87208345452954e-05,6.667160068142725e-05,7.217980770962722e-05,0.0001023623294016,7.548468869979793e-05,6.218240615799502e-05,9.803145590041204e-05,4.742773204540037e-05,8.145217918252153e-05,7.720126145300204e-05,6.922109042874002e-05,5.2015822513731416e-05,9.760949747977763e-05,9.14475676987665e-05,9.108954104591744e-05,9.163970215831628e-05,6.858271276865779e-05,7.740934196669674e-05,9.82580867177553e-05,5.619243472743548e-05,0.0001150930704977,6.364689829011797e-05,6.033002534570063e-05,9.052337451063094e-05,8.68393061050676e-05,6.642337222684228e-05,5.496478799705472e-05,8.99619087171765e-05,5.413609514462192e-05,7.63626967331573e-05,5.581330914279861e-05,7.446258920648898e-05,5.815077294700314e-05,4.680749284074815e-05,9.435661128534128e-05,8.900892702622939e-05,8.008413303697618e-05,5.7899587146276994e-05,5.908981512087584e-05,6.961118292043858e-05,9.696241951312722e-05,5.420408912959585e-05,7.086982768514362e-05,9.342431356773056e-05,6.395009994690006e-05,0.0001096339691323,7.979086374143357e-05,5.324451748785771e-05,0.000103810103908,7.137366171649e-05,7.632019830705399e-05,1.7688170429218946e-05,Inorganic Ion Transport and Metabolism,-0.6396182183473846
1741,PSD140,6.282109540977665e-05,7.986844553441809e-05,6.655341796651896e-05,9.381377142298967e-05,8.263866290567143e-05,8.292207290877532e-05,7.642875272507343e-05,9.001777514373878e-05,8.107092981562247e-05,5.6865292135848585e-05,8.042717797476647e-05,0.0001034333883703,7.855977305210832e-05,9.81272155965471e-05,6.311682631809393e-05,0.0001022800102727,7.322724337973121e-05,7.541418483182754e-05,7.382861363952979e-05,7.779820145295755e-05,6.217172665675483e-05,5.864557235246981e-05,5.957815230946472e-05,4.208498884044618e-05,6.50339366959757e-05,8.205662327656837e-05,9.259157227919924e-05,7.370107269450754e-05,6.137041522860293e-05,5.872810061964228e-05,0.0001002215360186,7.30197384237076e-05,0.0001287386920316,6.571062686193192e-05,0.0001009602635985,5.4025099826704105e-05,8.456752912702178e-05,0.0001045927829034,8.821108874556054e-05,7.928682320292634e-05,6.261824083949482e-05,6.705765526656425e-05,9.540692071630048e-05,4.590376363030854e-05,6.664099324295331e-05,5.935184430898452e-05,7.910223798312208e-05,6.670381774664685e-05,6.373823639062113e-05,7.452586584141908e-05,7.631117537033992e-05,1.6773993880949932e-05,Glycerophospholipid Metabolism,-0.6396379391427167
1742,FMNtex,7.28572498585852e-05,8.626956346946408e-05,0.000112337213025,7.650416724292475e-05,5.089289925663588e-05,0.0001090180797143,0.0001081074656883,0.0001120503097729,7.364487051112861e-05,0.000138920833072,7.5800506685415e-05,8.514232336763767e-05,6.457840939608712e-05,8.312956599164359e-05,5.8360182979571006e-05,6.138262443587572e-05,7.167754364419258e-05,7.909926798637992e-05,7.29532992721052e-05,7.494523456685815e-05,9.25407722637761e-05,9.25210044263092e-05,5.78524186640806e-05,5.287285257043606e-05,5.096018068043521e-05,8.248682158595452e-05,6.583191790961283e-05,6.671386635121758e-05,6.471158130908583e-05,7.171868687280843e-05,6.834342449439378e-05,6.849746130049191e-05,7.512456665708132e-05,7.017286207385977e-05,6.45346948233069e-05,5.903700561365352e-05,6.751361622987785e-05,7.705374680895702e-05,6.497209668257423e-05,8.969578450097646e-05,7.231608252628056e-05,8.195674018563205e-05,9.638930904529504e-05,6.0914171842211264e-05,7.230954930979322e-05,5.504921163061358e-05,8.617965040417234e-05,7.704019034866246e-05,9.657791749149892e-05,4.566684534930312e-05,7.630453279778715e-05,1.8019398701984877e-05,"Transport, Outer Membrane",-0.639652457344267
1743,EX_arg__L_e,8.497584760704936e-05,8.631783929320539e-05,8.476616964804315e-05,7.203804612378817e-05,8.226700162734137e-05,6.225506187898436e-05,8.575935148202498e-05,9.135459279748712e-05,9.156321040939954e-05,5.956505119352417e-05,7.017866934598122e-05,9.313605355982674e-05,6.0928651590034536e-05,7.078170604059007e-05,8.78526244353506e-05,6.952259288362042e-05,6.413182895575056e-05,5.194125332935681e-05,6.972399870256956e-05,6.674998196388174e-05,8.67352002348795e-05,9.31909529819118e-05,4.220849323344984e-05,6.224479128081394e-05,0.0001458011903952,6.536055551467313e-05,6.619468203387813e-05,6.878331061266284e-05,7.941530104788729e-05,8.08272131014472e-05,8.199774850523301e-05,7.551502344216912e-05,8.353406338329998e-05,7.94161080948888e-05,9.21297819434069e-05,6.887779197037615e-05,7.651752559850164e-05,8.668767136380098e-05,7.764869707498629e-05,7.414746968219393e-05,9.08208962155245e-05,7.249537301952728e-05,6.861136969789572e-05,7.824881566529216e-05,6.948328988205967e-05,6.539299920705371e-05,6.178384020862719e-05,8.267244042308404e-05,6.758390985287716e-05,6.296956796335988e-05,7.626211212997545e-05,1.5057932874815416e-05,Extracellular exchange,-0.6397451732010077
1744,2AGPEAT160,8.044972542487242e-05,7.874907647599814e-05,8.623374638352265e-05,6.883338639548055e-05,7.707919056540745e-05,8.8199262851767e-05,4.630705430895187e-05,7.270990322236699e-05,5.505523887036051e-05,7.453256859146473e-05,6.064494905393492e-05,6.0064546959685056e-05,8.166166372525636e-05,7.830925541542976e-05,8.953008394357562e-05,5.082118260993766e-05,7.665632635179522e-05,7.56219482169189e-05,7.502137521816743e-05,7.518834971236451e-05,9.677172092617364e-05,0.0001059356485949,6.610488255117422e-05,0.0001003903607895,9.005464219135694e-05,7.748147658102955e-05,7.051274074747287e-05,8.098138771017657e-05,7.350817030937622e-05,5.9215011357931056e-05,7.49857421022368e-05,6.441961167041268e-05,8.964773741423229e-05,6.01034499699083e-05,6.926772868366752e-05,7.522295947994511e-05,9.492919467684655e-05,8.355510957008085e-05,7.524927299190551e-05,9.300744653739757e-05,8.422740203491605e-05,5.382143708284114e-05,0.0001034353458671,7.679364625760901e-05,8.957847540617383e-05,8.178520151666008e-05,7.921024698826743e-05,4.83491039540999e-05,8.115865664392916e-05,6.025827719477616e-05,7.62326184419871e-05,1.3768567664523399e-05,Glycerophospholipid Metabolism,-0.6398096354712015
1745,KAS14,0.0001047413739284,7.963995204987794e-05,8.352515214076751e-05,6.259200244063367e-05,9.83442961846404e-05,5.88035084987381e-05,7.630303596022895e-05,7.796707261917899e-05,6.922108174545682e-05,6.724669047859155e-05,6.872723033542466e-05,7.091583598085936e-05,7.548191161802203e-05,0.0001223617781874,8.205155383112298e-05,8.569754152761143e-05,7.031040468586564e-05,7.149411499374317e-05,7.009811674007914e-05,7.748387486367435e-05,0.000100025680335,6.567335767656989e-05,6.940058391897023e-05,5.2050960828172e-05,6.588907693583744e-05,7.866891707485964e-05,6.959428514692166e-05,7.183733433469568e-05,0.0001274003177749,7.410501018184531e-05,7.284175721863033e-05,5.939625698026805e-05,7.672136555396572e-05,8.714395132845235e-05,6.243209124866089e-05,6.034522943100143e-05,9.678709672806544e-05,6.046117333310874e-05,7.967634346652886e-05,8.773555848429303e-05,5.4121943770957786e-05,8.802574835865185e-05,7.308813390988528e-05,5.528520642741329e-05,7.876866516335242e-05,7.054433832162064e-05,7.132950687955773e-05,6.621131626513265e-05,8.489551242331821e-05,7.79699720332706e-05,7.622866440688447e-05,1.517955825727603e-05,Membrane Lipid Metabolism,-0.6398182775263843
1746,PUNP6,7.963286756070116e-05,9.133997073801868e-05,0.0001077893095631,8.716641207738412e-05,6.477498438685073e-05,7.441952082323462e-05,7.726122329104214e-05,7.636183059350794e-05,5.634157471353082e-05,8.610417710178791e-05,7.454359256608841e-05,9.415507638823048e-05,4.894543446043079e-05,6.924575465854192e-05,8.339200589288231e-05,8.859409216722084e-05,6.529710943374399e-05,7.065288658276528e-05,7.45616590937833e-05,7.198868424349871e-05,6.64271795162083e-05,9.122659443868616e-05,6.642767056376854e-05,6.362643833656052e-05,7.125185640647465e-05,6.504949485397521e-05,6.005222731260393e-05,8.130071817932311e-05,6.385199655671201e-05,7.636378931070841e-05,7.545608109706227e-05,7.475977412446639e-05,6.329790686260494e-05,6.373879234111257e-05,7.056668948181504e-05,7.848931586375721e-05,9.207466354022186e-05,9.840177474934822e-05,9.096501228714094e-05,7.715987035289534e-05,0.0001208811910124,7.018139030611266e-05,6.204638055289528e-05,7.033667256183074e-05,0.0001012220459658,7.373451374798223e-05,7.039620390012157e-05,6.439875965084952e-05,8.438154409075204e-05,5.7265132011108975e-05,7.615799692623287e-05,1.375804472451479e-05,Nucleotide Salvage Pathway,-0.6399727304463948
1747,ASAD,0.0001168123578316,0.0001026037821394,5.007088423147035e-05,6.526252600506e-05,7.951675744150425e-05,5.969258469146089e-05,0.0001011307790642,6.017620309999577e-05,5.4197114843095445e-05,5.737617958024277e-05,7.47010810500655e-05,8.409307110495844e-05,0.0001072327669875,7.240207011960873e-05,6.25426240631851e-05,5.277776985496563e-05,7.092197242563155e-05,0.0001106618064004,7.943767395864595e-05,7.920164901829519e-05,7.445302896859787e-05,7.23944687125062e-05,7.378795877658887e-05,0.0001046708797301,7.423243122019995e-05,7.004664658993025e-05,5.127096396982666e-05,8.87239332573542e-05,5.21299456475094e-05,5.739222216701015e-05,4.853642834437598e-05,6.601858685036553e-05,7.183788267261043e-05,8.977876747942494e-05,6.170092077095773e-05,6.88499018375138e-05,8.472171271672539e-05,6.959794612131376e-05,5.799257068732606e-05,9.04937303532816e-05,7.617684350704616e-05,8.607732579532854e-05,6.401419468878223e-05,9.861820163553011e-05,9.61428735574666e-05,7.776900641513397e-05,0.0001008653685,7.032476219690447e-05,7.059689316315375e-05,9.744872986499176e-05,7.614953560218285e-05,1.732710759844309e-05,Threonine and Lysine Metabolism,-0.6399912237646034
1748,THRA2,6.932550829884989e-05,7.138781647216506e-05,8.532287285847413e-05,9.71473102586193e-05,6.675180993043117e-05,5.193967879633509e-05,0.0001178931663649,7.865279948351375e-05,6.409400507228615e-05,7.44598799415589e-05,6.103191497397101e-05,8.294378554752184e-05,7.951169968773309e-05,0.000101965001767,7.077063200723488e-05,6.685072239158129e-05,9.142870489480405e-05,6.5808224481152e-05,8.949944866204987e-05,8.838616421393388e-05,9.527064712584514e-05,7.012226014215106e-05,5.9212076496336895e-05,7.016120859256199e-05,6.928085665322325e-05,6.73617247965276e-05,7.342646720005119e-05,7.566751700770288e-05,8.431596868202364e-05,7.624765591752315e-05,6.780764974523985e-05,5.355920114271429e-05,0.0001021623973561,7.084004796388978e-05,9.801473740283502e-05,7.944262821815298e-05,7.253474807076483e-05,7.1193194035669e-05,7.61434102900595e-05,6.87598982322254e-05,8.573181735959821e-05,5.055230155583332e-05,9.12457706578878e-05,7.685919366671887e-05,7.298239917914228e-05,7.12775252188767e-05,9.603939918373557e-05,5.488230026173397e-05,5.811114698707688e-05,7.247913720133946e-05,7.613712864895314e-05,1.4062182249472744e-05,Threonine and Lysine Metabolism,-0.6400183407657628
1749,2AGPEAT181,0.0001067285799382,0.0001006252764347,8.250402911970942e-05,0.000136081519791,8.292296055395905e-05,6.749703280063327e-05,9.208934919237282e-05,8.023959549670077e-05,7.999118815093877e-05,8.715707963154885e-05,6.947498417149779e-05,8.935970372658423e-05,7.033991981494107e-05,7.638012758509823e-05,7.8464792239585e-05,6.874908423985102e-05,7.51321252112835e-05,6.111432444466522e-05,6.304753391210658e-05,8.347367389103312e-05,7.811151412639529e-05,7.599972760280726e-05,4.928464423465202e-05,6.274740880910731e-05,8.237278244354732e-05,5.71740015254089e-05,7.132665571131852e-05,6.750867239170487e-05,5.606002522732774e-05,6.133892393720948e-05,0.0001111460497002,6.706217400587192e-05,8.220921192393909e-05,5.598559472025626e-05,7.019458547760997e-05,7.997029939854392e-05,7.192135055521519e-05,8.60202396448254e-05,7.212865335480854e-05,6.674851962024239e-05,9.847806918518014e-05,5.759381331870061e-05,7.188170355147021e-05,0.0001066170697154,5.70717642808032e-05,5.563929383034621e-05,0.0001008875426315,6.649820376966771e-05,6.525499412768449e-05,4.944712541980099e-05,7.612106989175907e-05,1.709704083923939e-05,Glycerophospholipid Metabolism,-0.6400534392568579
1750,GCALDD,8.53988229469865e-05,5.835639307500611e-05,7.907954087097295e-05,8.384513464865439e-05,6.147011884341026e-05,5.970267558592296e-05,7.256408684944279e-05,7.063073650440913e-05,4.834881014837535e-05,6.061261027099762e-05,7.15271212534108e-05,7.93591810536099e-05,7.819164629072815e-05,8.27391241405292e-05,7.845026626061293e-05,6.714280726058393e-05,5.74403667393006e-05,7.164193839774403e-05,7.185126460988832e-05,6.631979348683319e-05,6.553548732845182e-05,5.63517307276111e-05,7.739115600581354e-05,6.457377901535249e-05,7.678046315879377e-05,0.0002098481232068,7.143409139973314e-05,7.603971552137485e-05,6.270390171337232e-05,8.368453467364277e-05,8.341278817246891e-05,6.267548834422731e-05,8.033562713213203e-05,7.644843882533791e-05,7.606878963282486e-05,9.20339774853468e-05,8.735770729866155e-05,7.92595461776841e-05,7.99210567491721e-05,5.807240578442785e-05,8.188349765964089e-05,0.0001632211836984,7.916593244503158e-05,6.701463163439417e-05,7.843998430325078e-05,5.514136860959697e-05,5.203376581888002e-05,6.264676874694312e-05,7.767035772639588e-05,6.263914553688244e-05,7.60891576754013e-05,2.5108924672608892e-05,Folate Metabolism,-0.6401231875336468
1751,NTD7,7.160853834651703e-05,6.912755182709082e-05,8.901967875882785e-05,8.411340775738503e-05,9.290253608163277e-05,6.194621742552915e-05,9.343026960452615e-05,5.844251606675058e-05,7.877283433550076e-05,5.414796246420882e-05,5.122868856464168e-05,7.494046954213133e-05,8.825433692175928e-05,8.400146516720851e-05,6.0930448268692966e-05,7.791454602530577e-05,5.354960468080625e-05,7.151474616893806e-05,7.796725558186163e-05,8.542256472685268e-05,0.0001042657186622,6.582101287259742e-05,9.55969411452883e-05,9.504184618779064e-05,5.9164160841608646e-05,7.170331610285894e-05,8.270363141522509e-05,7.799988149254864e-05,8.062623470027607e-05,6.46666775670641e-05,8.078313595910957e-05,7.040214128969382e-05,8.249454353398095e-05,7.89758741200605e-05,6.54223560447251e-05,8.898757559212646e-05,8.692653767400563e-05,9.09102457371598e-05,6.58776850284942e-05,0.0001086183975906,8.153662355471471e-05,9.20605810140772e-05,7.868013888441696e-05,9.012895856877106e-05,8.41727601305108e-05,5.880952017121104e-05,7.137987723492702e-05,5.3366765999802064e-05,4.705499033035297e-05,5.0935047194674695e-05,7.608697629914079e-05,1.4463509811219462e-05,Nucleotide Salvage Pathway,-0.6401279552136315
1752,PSSA180,0.0001126174381919,3.770647550676053e-05,7.019167256010615e-05,6.116475435223699e-05,6.517391986709453e-05,7.713129300264964e-05,6.512484500978932e-05,8.549314189727193e-05,5.250762553590681e-05,4.7166611802023046e-05,6.537428622959115e-05,8.188648078936811e-05,8.860008640117942e-05,6.157067739936508e-05,7.412361494169164e-05,0.0001145744105624,8.493606465297158e-05,7.718869118649407e-05,7.037562398718197e-05,0.0001329007808329,7.770262401192173e-05,8.23843920646765e-05,5.713474512649568e-05,6.759108881972627e-05,7.616811376922136e-05,5.932651687835435e-05,7.610970432789825e-05,0.0001739048081548,8.562222449823112e-05,6.111207107661808e-05,5.105388466385023e-05,0.0001273304401669,7.084338842937803e-05,6.044374603944764e-05,6.204416810218757e-05,6.320631651087551e-05,4.995370691469291e-05,0.0001067197031487,5.9571149684123504e-05,8.124654668786044e-05,8.483840463300526e-05,8.07591841603467e-05,6.338701204429537e-05,5.02681651018091e-05,0.0001037888823855,7.479258026732563e-05,8.29788665563272e-05,4.400858410621031e-05,7.421887612222327e-05,6.800191773578514e-05,7.604640613795337e-05,2.4254590785579713e-05,Glycerophospholipid Metabolism,-0.6402166265487764
