,orf,label,growth,status
193,YDR023W,0,0.08590754899640715,optimal
194,YDR035W,1,0.08590754899640735,optimal
195,YDR036C,1,0.0859075489964069,optimal
196,YDR037W,0,0.0,optimal
197,YDR038C,1,0.08590754899640662,optimal
198,YDR039C,1,0.0859075489964067,optimal
199,YDR040C,1,0.08590754899640661,optimal
200,YDR044W,0,0.0,optimal
201,YDR046C,1,0.08590751899387944,optimal
202,YDR047W,0,0.0,optimal
203,YDR050C,0,0.08522258322917889,optimal
204,YDR051C,1,0.08590754899640611,optimal
205,YDR058C,1,0.08590754899640636,optimal
206,YDR062W,0,0.08590754899640694,optimal
207,YDR071C,1,0.08590751899387776,optimal
208,YDR072C,1,0.08590754899640723,optimal
209,YDR074W,1,1.0349404869100216e-16,optimal
210,YDR093W,1,0.08590751899387976,optimal
211,YDR098C,1,0.08590751899387776,optimal
212,YDR105C,1,0.08590754899640785,optimal
213,YDR127W,1,-1.3112435577832726e-15,optimal
214,YDR135C,1,0.08590754899640701,optimal
215,YDR147W,1,0.08590751899387872,optimal
216,YDR148C,1,0.08590754793214803,optimal
217,YDR158W,1,0.0,optimal
218,YDR173C,1,0.08590751899387931,optimal
219,YDR178W,1,0.08590754899640758,optimal
220,YDR191W,1,0.08590751899387804,optimal
221,YDR196C,0,-2.463127313820499e-12,optimal
222,YDR204W,1,0.08590754899640758,optimal
223,YDR208W,0,0.08590754899640642,optimal
224,YDR226W,1,0.08590751899387865,optimal
225,YDR231C,1,0.08590754899640755,optimal
226,YDR232W,0,0.0,optimal
227,YDR234W,1,0.0,optimal
228,YDR236C,0,0.0859075489964068,optimal
229,YDR242W,1,0.08590754899640635,optimal
230,YDR256C,1,0.08590754899640458,optimal
231,YDR261C,1,0.0859075489964061,optimal
232,YDR268W,1,0.08590754899640643,optimal
233,YDR270W,1,0.08590754899640825,optimal
234,YDR272W,1,0.08590751899387938,optimal
235,YDR284C,1,0.08590754899640701,optimal
236,YDR287W,1,0.08590751899387901,optimal
237,YDR294C,1,0.08590754899640712,optimal
238,YDR297W,1,0.08590754899640758,optimal
239,YDR298C,1,0.0319305261814719,optimal
240,YDR300C,1,0.08590754899640636,optimal
241,YDR302W,0,0.0859075489964069,optimal
242,YDR305C,1,0.0859075189938791,optimal
243,YDR315C,1,0.08590754899640685,optimal
244,YDR321W,1,0.08590754899640674,optimal
245,YDR322C-A,1,0.031930526304875445,optimal
246,YDR341C,0,0.0,optimal
247,YDR342C,1,0.08590754899640703,optimal
248,YDR343C,1,0.08590751899387783,optimal
249,YDR345C,1,0.08590754899640785,optimal
250,YDR352W,1,0.08590751899387973,optimal
