,knockout,essential,call,growth,true_label,score
160,100771741,1,1,0.032368914048232375,1,0.032368914048232375
161,100771756,1,1,0.03236891404823238,1,0.03236891404823238
162,100755384,1,1,0.03236891404823238,1,0.03236891404823238
163,100755385,1,1,0.03236891404823239,1,0.03236891404823239
164,100771787,1,1,0.03236891404823238,1,0.03236891404823238
165,100755419,1,1,0.03236891404823238,1,0.03236891404823238
166,100755423,1,1,0.03236891404823238,1,0.03236891404823238
167,100763658,1,1,0.03236891404823238,1,0.03236891404823238
168,100755514,1,1,0.03236891404823238,1,0.03236891404823238
169,100763715,1,1,0.03236891404823238,1,0.03236891404823238
170,100771969,1,1,0.03236891404823241,1,0.03236891404823241
171,100755602,1,1,0.03236891404823238,1,0.03236891404823238
172,100763802,1,1,0.03236891404823238,1,0.03236891404823238
173,100763844,1,1,0.032368914048232375,1,0.032368914048232375
174,100755684,1,1,0.03236891404823238,1,0.03236891404823238
175,100755690,1,1,0.03236891404823238,1,0.03236891404823238
176,100763920,1,1,0.03236891404823238,1,0.03236891404823238
177,100772122,1,1,0.03236891404823242,1,0.03236891404823242
178,100772123,1,1,0.032368914048232375,1,0.032368914048232375
179,100763970,1,1,0.03236891404823238,1,0.03236891404823238
180,100772179,1,1,0.03236891404823239,1,0.03236891404823239
181,100772204,1,1,0.03236891404823238,1,0.03236891404823238
182,100772214,1,1,0.032368914048232375,1,0.032368914048232375
183,100755837,1,1,0.032368914048232375,1,0.032368914048232375
184,100755842,1,1,0.03236891404823238,1,0.03236891404823238
185,100755928,1,1,0.03236891404823238,1,0.03236891404823238
186,100772319,1,1,0.03236891404823238,1,0.03236891404823238
187,100764152,1,1,0.03236891404823238,1,0.03236891404823238
188,100764155,1,1,0.03236891404823238,1,0.03236891404823238
189,100764157,1,1,0.03236891404823238,1,0.03236891404823238
190,100755966,1,1,0.032368914048232375,1,0.032368914048232375
191,100772366,1,1,0.032368914048232375,1,0.032368914048232375
192,100755982,1,1,0.03236891404823238,1,0.03236891404823238
193,100755987,1,1,0.03236891404823238,1,0.03236891404823238
194,100772448,1,1,0.03236891404823238,1,0.03236891404823238
195,100764278,1,1,0.03236891404823238,1,0.03236891404823238
196,100772471,1,1,0.02739152612987311,1,0.02739152612987311
197,100756132,1,1,0.032368914048232375,1,0.032368914048232375
198,100756137,1,1,0.03236891404823239,1,0.03236891404823239
199,100764352,1,1,0.03236891404823238,1,0.03236891404823238
200,100772588,1,1,0.03236891404823238,1,0.03236891404823238
201,100772592,1,1,0.03236891404823238,1,0.03236891404823238
202,100772642,1,1,0.03236891404823238,1,0.03236891404823238
203,100772647,1,1,0.03236891404823238,1,0.03236891404823238
204,100764455,1,1,0.03236891404823238,1,0.03236891404823238
205,100756279,1,1,0.03236891404823238,1,0.03236891404823238
206,100764482,1,1,0.03236891404823238,1,0.03236891404823238
207,100756356,1,1,0.03236891404823238,1,0.03236891404823238
208,100772782,1,1,0.027391526129873,1,0.027391526129873
209,100764593,1,1,0.03236891404823238,1,0.03236891404823238
210,100756410,1,1,0.03236891404823238,1,0.03236891404823238
211,100772831,1,1,0.03236891404823239,1,0.03236891404823239
212,100756461,1,1,0.03236891404823237,1,0.03236891404823237
213,100772883,1,1,0.03236891404823238,1,0.03236891404823238
214,100756511,1,1,0.03236891404823239,1,0.03236891404823239
215,100756550,1,1,0.03236891404823238,1,0.03236891404823238
216,100772970,1,1,0.03236891404823238,1,0.03236891404823238
217,100772984,1,1,0.03236891404823239,1,0.03236891404823239
218,100764811,1,1,0.03236891404823238,1,0.03236891404823238
